TrailID,TraceNameID,TraceName
57491,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
57491,15,AutomationCalculator.ProcessHistory.AutoApproval.IsBrokerCustomer
57491,2,AutomationCalculator.ProcessHistory.AutoApproval.AmlCheck
57491,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
57491,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
57491,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
57491,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
57523,23,AutomationCalculator.ProcessHistory.AutoApproval.OutstandingRepayRatio
57523,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
57523,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
57523,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
57535,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
57535,15,AutomationCalculator.ProcessHistory.AutoApproval.IsBrokerCustomer
57535,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
57535,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
57535,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
57535,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
57551,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
57551,50,AutomationCalculator.ProcessHistory.Common.FraudSuspect
57551,15,AutomationCalculator.ProcessHistory.AutoApproval.IsBrokerCustomer
57551,2,AutomationCalculator.ProcessHistory.AutoApproval.AmlCheck
57551,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
57551,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
57551,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
57551,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
57627,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
57627,2,AutomationCalculator.ProcessHistory.AutoApproval.AmlCheck
57627,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
57627,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
57627,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
57627,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
57693,15,AutomationCalculator.ProcessHistory.AutoApproval.IsBrokerCustomer
57693,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
57693,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
57693,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
57709,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
57709,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
57709,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
57709,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
57709,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
57733,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
57733,28,AutomationCalculator.ProcessHistory.AutoApproval.WorstCaisStatus
57733,23,AutomationCalculator.ProcessHistory.AutoApproval.OutstandingRepayRatio
57733,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
57733,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
57733,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
57741,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
57741,15,AutomationCalculator.ProcessHistory.AutoApproval.IsBrokerCustomer
57741,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
57741,28,AutomationCalculator.ProcessHistory.AutoApproval.WorstCaisStatus
57741,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
57741,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
57741,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
57765,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
57765,50,AutomationCalculator.ProcessHistory.Common.FraudSuspect
57765,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
57765,28,AutomationCalculator.ProcessHistory.AutoApproval.WorstCaisStatus
57765,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
57765,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
57765,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
57895,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
57895,50,AutomationCalculator.ProcessHistory.Common.FraudSuspect
57895,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
57895,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
57895,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
57895,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
57911,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
57911,50,AutomationCalculator.ProcessHistory.Common.FraudSuspect
57911,15,AutomationCalculator.ProcessHistory.AutoApproval.IsBrokerCustomer
57911,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
57911,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
57911,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
57911,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
58059,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
58059,50,AutomationCalculator.ProcessHistory.Common.FraudSuspect
58059,15,AutomationCalculator.ProcessHistory.AutoApproval.IsBrokerCustomer
58059,65,AutomationCalculator.ProcessHistory.AutoApproval.CompanyIsDissolved
58059,27,AutomationCalculator.ProcessHistory.AutoApproval.TodayLoans
58059,2,AutomationCalculator.ProcessHistory.AutoApproval.AmlCheck
58059,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
58059,7,AutomationCalculator.ProcessHistory.AutoApproval.CustomerIsDirector
58059,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
58059,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
58059,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
58155,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
58155,27,AutomationCalculator.ProcessHistory.AutoApproval.TodayLoans
58155,28,AutomationCalculator.ProcessHistory.AutoApproval.WorstCaisStatus
58155,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
58155,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
58155,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
58175,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
58175,50,AutomationCalculator.ProcessHistory.Common.FraudSuspect
58175,27,AutomationCalculator.ProcessHistory.AutoApproval.TodayLoans
58175,4,AutomationCalculator.ProcessHistory.AutoApproval.BusinessScore
58175,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
58175,28,AutomationCalculator.ProcessHistory.AutoApproval.WorstCaisStatus
58175,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
58175,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
58175,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
58203,27,AutomationCalculator.ProcessHistory.AutoApproval.TodayLoans
58203,2,AutomationCalculator.ProcessHistory.AutoApproval.AmlCheck
58203,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
